,BU.SHF,EG.DCE,HC.SHF,I.DCE,J.DCE,JM.DCE,L.DCE,MA.CZC,PP.DCE,RB.SHF,TA.CZC,V.DCE,ZC.CZC
2013-01-29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.0,6.0,-7.0,0.0
2013-01-30,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,-6.0,6.0,-7.0,0.0
2013-01-31,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,-6.0,6.0,-7.0,0.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,-6.0,6.0,-7.0,0.0
2013-02-04,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-6.0,6.0,-7.0,0.0
2013-02-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.0,6.0,-7.0,0.0
2013-02-06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.0,6.0,-7.0,0.0
2013-02-07,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.0,6.0,-7.0,0.0
2013-02-08,0.0,0.0,0.0,0.0,-1.0,0.0,4.0,0.0,0.0,-6.0,6.0,0.0,0.0
2013-02-18,0.0,0.0,0.0,0.0,-1.0,0.0,4.0,0.0,0.0,-6.0,6.0,0.0,0.0
2013-02-19,0.0,0.0,0.0,0.0,-1.0,0.0,4.0,0.0,0.0,-6.0,6.0,0.0,0.0
2013-02-20,0.0,0.0,0.0,0.0,-1.0,0.0,4.0,0.0,0.0,-6.0,6.0,0.0,0.0
2013-02-21,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-6.0,6.0,-8.0,0.0
2013-02-22,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,-6.0,0.0,-8.0,0.0
2013-02-25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.0,6.0,-8.0,0.0
2013-02-26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.0,6.0,-8.0,0.0
2013-02-27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.0,6.0,-8.0,0.0
2013-02-28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.0,6.0,-8.0,0.0
2013-03-01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.0,6.0,-8.0,0.0
2013-03-04,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.0,6.0,-8.0,0.0
2013-03-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.0,6.0,-8.0,0.0
2013-03-06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.0,6.0,-8.0,0.0
2013-03-07,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,-6.0,0.0,-8.0,0.0
2013-03-08,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,-6.0,0.0,-8.0,0.0
2013-03-11,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,-6.0,0.0,-8.0,0.0
2013-03-12,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,-6.0,0.0,-8.0,0.0
2013-03-13,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,-6.0,0.0,-8.0,0.0
2013-03-14,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,-7.0,-6.0,0.0,0.0
2013-03-15,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,-7.0,0.0,-8.0,0.0
2013-03-18,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,-6.0,0.0,-8.0,0.0
2013-03-19,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,-7.0,0.0,-8.0,0.0
2013-03-20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-7.0,6.0,-8.0,0.0
2013-03-21,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,-6.0,0.0,-8.0,0.0
2013-03-22,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,-6.0,0.0,-7.0,0.0
2013-03-25,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-4.0,-4.0,-5.0,0.0
2013-03-26,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-4.0,-4.0,-5.0,0.0
2013-03-27,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-4.0,-4.0,-5.0,0.0
2013-03-28,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-4.0,-4.0,-5.0,0.0
2013-03-29,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-4.0,-4.0,-5.0,0.0
2013-04-01,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-4.0,-4.0,-5.0,0.0
2013-04-02,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-4.0,-4.0,-5.0,0.0
2013-04-03,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-4.0,-4.0,-5.0,0.0
2013-04-08,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-4.0,-4.0,-5.0,0.0
2013-04-09,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-4.0,-4.0,-5.0,0.0
2013-04-10,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-4.0,-4.0,-5.0,0.0
2013-04-11,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-4.0,-4.0,-5.0,0.0
2013-04-12,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-4.0,-4.0,-5.0,0.0
2013-04-15,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-4.0,-4.0,-5.0,0.0
2013-04-16,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-4.0,-4.0,-5.0,0.0
2013-04-17,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-4.0,-4.0,-5.0,0.0
2013-04-18,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-04-19,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-04-22,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-04-23,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-04-24,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-04-25,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-04-26,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-05-02,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-05-03,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-05-06,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-05-07,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-05-08,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-05-09,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-05-10,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-05-13,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,4.0,-5.0,0.0
2013-05-14,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,4.0,-5.0,0.0
2013-05-15,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,4.0,-5.0,0.0
2013-05-16,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-05-17,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-05-20,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,4.0,-5.0,0.0
2013-05-21,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,4.0,-5.0,0.0
2013-05-22,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-05-23,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,4.0,-5.0,0.0
2013-05-24,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-05-27,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,4.0,-5.0,0.0
2013-05-28,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-05-29,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-05-30,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-05-31,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-06-03,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-06-04,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-06-05,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-06-06,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-06-07,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-06-13,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-06-14,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-06-17,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-06-18,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-06-19,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-06-20,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-06-21,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-06-24,0.0,0.0,0.0,0.0,-1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-06-25,0.0,0.0,0.0,0.0,-1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-06-26,0.0,0.0,0.0,0.0,-1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-06-27,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,-5.0,0.0
2013-06-28,0.0,0.0,0.0,0.0,-1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-07-01,0.0,0.0,0.0,0.0,-1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-07-02,0.0,0.0,0.0,0.0,-1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-07-03,0.0,0.0,0.0,0.0,-1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-07-04,0.0,0.0,0.0,0.0,1.0,3.0,-3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-07-05,0.0,0.0,0.0,0.0,-1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-07-08,0.0,0.0,0.0,0.0,-1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-07-09,0.0,0.0,0.0,0.0,-1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-07-10,0.0,0.0,0.0,0.0,-1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-07-11,0.0,0.0,0.0,0.0,-1.0,-3.0,3.0,0.0,0.0,-5.0,4.0,5.0,0.0
2013-07-12,0.0,0.0,0.0,0.0,-1.0,-3.0,3.0,0.0,0.0,-5.0,4.0,5.0,0.0
2013-07-15,0.0,0.0,0.0,0.0,-1.0,3.0,3.0,0.0,0.0,-5.0,4.0,-5.0,0.0
2013-07-16,0.0,0.0,0.0,0.0,-1.0,3.0,3.0,0.0,0.0,-5.0,4.0,-5.0,0.0
2013-07-17,0.0,0.0,0.0,0.0,-1.0,3.0,3.0,0.0,0.0,-5.0,4.0,-5.0,0.0
2013-07-18,0.0,0.0,0.0,0.0,-1.0,-3.0,3.0,0.0,0.0,-5.0,4.0,5.0,0.0
2013-07-19,0.0,0.0,0.0,0.0,-1.0,-3.0,3.0,0.0,0.0,-5.0,4.0,5.0,0.0
2013-07-22,0.0,0.0,0.0,0.0,-1.0,-3.0,3.0,0.0,0.0,-5.0,4.0,5.0,0.0
2013-07-23,0.0,0.0,0.0,0.0,-1.0,-3.0,3.0,0.0,0.0,-5.0,4.0,5.0,0.0
2013-07-24,0.0,0.0,0.0,0.0,-1.0,-3.0,3.0,0.0,0.0,-5.0,4.0,5.0,0.0
2013-07-25,0.0,0.0,0.0,0.0,-1.0,-3.0,3.0,0.0,0.0,-5.0,4.0,5.0,0.0
2013-07-26,0.0,0.0,0.0,0.0,-1.0,-3.0,3.0,0.0,0.0,-5.0,4.0,5.0,0.0
2013-07-29,0.0,0.0,0.0,0.0,-1.0,-3.0,3.0,0.0,0.0,-5.0,4.0,5.0,0.0
2013-07-30,0.0,0.0,0.0,0.0,-1.0,-3.0,3.0,0.0,0.0,-5.0,4.0,5.0,0.0
2013-07-31,0.0,0.0,0.0,0.0,-1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-08-01,0.0,0.0,0.0,0.0,-1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-08-02,0.0,0.0,0.0,0.0,-1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-08-05,0.0,0.0,0.0,0.0,-1.0,-3.0,3.0,0.0,0.0,-5.0,4.0,5.0,0.0
2013-08-06,0.0,0.0,0.0,0.0,-1.0,-3.0,3.0,0.0,0.0,-5.0,4.0,5.0,0.0
2013-08-07,0.0,0.0,0.0,0.0,-1.0,-3.0,3.0,0.0,0.0,-5.0,4.0,5.0,0.0
2013-08-08,0.0,0.0,0.0,0.0,-1.0,-3.0,3.0,0.0,0.0,-4.0,4.0,5.0,0.0
2013-08-09,0.0,0.0,0.0,0.0,-1.0,-3.0,3.0,0.0,0.0,-4.0,4.0,5.0,0.0
2013-08-12,0.0,0.0,0.0,0.0,-1.0,-2.0,3.0,0.0,0.0,-4.0,4.0,5.0,0.0
2013-08-13,0.0,0.0,0.0,0.0,-1.0,-2.0,3.0,0.0,0.0,-4.0,4.0,5.0,0.0
2013-08-14,0.0,0.0,0.0,0.0,-1.0,-2.0,3.0,0.0,0.0,-4.0,4.0,5.0,0.0
2013-08-15,0.0,0.0,0.0,0.0,-1.0,-2.0,3.0,0.0,0.0,-4.0,4.0,5.0,0.0
2013-08-16,0.0,0.0,0.0,0.0,-1.0,-2.0,3.0,0.0,0.0,-4.0,4.0,5.0,0.0
2013-08-19,0.0,0.0,0.0,0.0,-1.0,-2.0,3.0,0.0,0.0,-4.0,4.0,5.0,0.0
2013-08-20,0.0,0.0,0.0,0.0,-1.0,-2.0,3.0,0.0,0.0,-4.0,4.0,5.0,0.0
2013-08-21,0.0,0.0,0.0,0.0,-1.0,-2.0,3.0,0.0,0.0,-4.0,4.0,5.0,0.0
2013-08-22,0.0,0.0,0.0,0.0,-1.0,-2.0,3.0,0.0,0.0,-4.0,4.0,5.0,0.0
2013-08-23,0.0,0.0,0.0,0.0,-1.0,-2.0,3.0,0.0,0.0,-4.0,4.0,5.0,0.0
2013-08-26,0.0,0.0,0.0,0.0,-1.0,-2.0,3.0,0.0,0.0,-4.0,4.0,5.0,0.0
2013-08-27,0.0,0.0,0.0,0.0,-1.0,-2.0,3.0,0.0,0.0,-4.0,4.0,5.0,0.0
2013-08-28,0.0,0.0,0.0,0.0,-1.0,-2.0,3.0,0.0,0.0,-4.0,4.0,5.0,0.0
2013-08-29,0.0,0.0,0.0,0.0,-1.0,-2.0,3.0,0.0,0.0,-4.0,4.0,5.0,0.0
2013-08-30,0.0,0.0,0.0,0.0,-1.0,-2.0,3.0,0.0,0.0,-4.0,4.0,5.0,0.0
2013-09-02,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-4.0,-4.0,5.0,0.0
2013-09-03,0.0,0.0,0.0,0.0,-1.0,-2.0,3.0,0.0,0.0,-4.0,4.0,5.0,0.0
2013-09-04,0.0,0.0,0.0,0.0,-1.0,-2.0,3.0,0.0,0.0,-4.0,4.0,5.0,0.0
2013-09-05,0.0,0.0,0.0,0.0,-1.0,-2.0,3.0,0.0,0.0,-4.0,4.0,5.0,0.0
2013-09-06,0.0,0.0,0.0,0.0,-1.0,-2.0,3.0,0.0,0.0,-4.0,4.0,5.0,0.0
2013-09-09,0.0,0.0,0.0,0.0,-1.0,-2.0,3.0,0.0,0.0,-4.0,4.0,5.0,0.0
2013-09-10,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-4.0,-4.0,5.0,0.0
2013-09-11,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-4.0,-4.0,5.0,0.0
2013-09-12,0.0,0.0,0.0,0.0,-1.0,-2.0,3.0,0.0,0.0,-4.0,4.0,5.0,0.0
2013-09-13,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-4.0,-4.0,5.0,0.0
2013-09-16,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-09-17,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-09-18,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-09-23,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-09-24,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-09-25,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-09-26,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-09-27,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-09-30,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-10-08,0.0,0.0,0.0,0.0,-2.0,4.0,0.0,0.0,0.0,-7.0,6.0,0.0,0.0
2013-10-09,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,5.0,0.0
2013-10-10,4.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,0.0,0.0
2013-10-11,4.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,0.0,0.0
2013-10-14,4.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,0.0,0.0
2013-10-15,4.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,0.0,0.0
2013-10-16,4.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,0.0,0.0
2013-10-17,4.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,0.0,0.0
2013-10-18,4.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,0.0,0.0
2013-10-21,4.0,0.0,0.0,-2.0,-1.0,2.0,3.0,0.0,0.0,-5.0,0.0,0.0,0.0
2013-10-22,4.0,0.0,0.0,-2.0,-1.0,2.0,3.0,0.0,0.0,-5.0,0.0,0.0,0.0
2013-10-23,4.0,0.0,0.0,-2.0,-1.0,2.0,3.0,0.0,0.0,-5.0,0.0,0.0,0.0
2013-10-24,4.0,0.0,0.0,-2.0,-1.0,2.0,3.0,0.0,0.0,-5.0,0.0,0.0,0.0
2013-10-25,4.0,0.0,0.0,-2.0,0.0,3.0,3.0,0.0,0.0,-5.0,-4.0,0.0,0.0
2013-10-28,4.0,0.0,0.0,-2.0,0.0,3.0,3.0,0.0,0.0,-5.0,-4.0,0.0,0.0
2013-10-29,4.0,0.0,0.0,-2.0,0.0,3.0,3.0,0.0,0.0,-5.0,-4.0,0.0,0.0
2013-10-30,4.0,0.0,0.0,-2.0,1.0,3.0,0.0,0.0,0.0,-5.0,-4.0,0.0,0.0
2013-10-31,4.0,0.0,0.0,-2.0,-1.0,3.0,3.0,0.0,0.0,0.0,-4.0,0.0,0.0
2013-11-01,4.0,0.0,0.0,0.0,-1.0,3.0,3.0,0.0,0.0,-5.0,-4.0,0.0,0.0
2013-11-04,4.0,0.0,0.0,-2.0,-1.0,3.0,3.0,0.0,0.0,-5.0,0.0,0.0,0.0
2013-11-05,4.0,0.0,0.0,-2.0,-1.0,3.0,3.0,0.0,0.0,-5.0,0.0,0.0,0.0
2013-11-06,4.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,0.0,0.0
2013-11-07,4.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,0.0,0.0
2013-11-08,4.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,0.0,0.0
2013-11-11,4.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,0.0,0.0
2013-11-12,4.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,-5.0,-4.0,0.0,0.0
2013-11-13,4.0,0.0,0.0,-2.0,0.0,2.0,3.0,0.0,0.0,0.0,-4.0,-5.0,0.0
2013-11-14,4.0,0.0,0.0,-2.0,-1.0,2.0,3.0,0.0,0.0,0.0,-4.0,0.0,0.0
2013-11-15,4.0,0.0,0.0,-2.0,-1.0,2.0,3.0,0.0,0.0,0.0,-4.0,0.0,0.0
2013-11-18,4.0,0.0,0.0,0.0,-1.0,2.0,3.0,0.0,0.0,0.0,-4.0,-5.0,0.0
2013-11-19,4.0,0.0,0.0,-2.0,-1.0,2.0,3.0,0.0,0.0,0.0,-4.0,0.0,0.0
2013-11-20,4.0,0.0,0.0,-2.0,-1.0,2.0,3.0,0.0,0.0,0.0,-4.0,0.0,0.0
2013-11-21,4.0,0.0,0.0,-2.0,-1.0,2.0,3.0,0.0,0.0,0.0,-4.0,0.0,0.0
2013-11-22,4.0,0.0,0.0,-2.0,-1.0,2.0,3.0,0.0,0.0,0.0,-4.0,0.0,0.0
2013-11-25,4.0,0.0,0.0,-2.0,-1.0,2.0,3.0,0.0,0.0,0.0,-4.0,0.0,0.0
2013-11-26,4.0,0.0,0.0,-2.0,-1.0,2.0,3.0,0.0,0.0,0.0,-4.0,0.0,0.0
2013-11-27,4.0,0.0,0.0,-2.0,-1.0,2.0,3.0,0.0,0.0,0.0,-4.0,0.0,0.0
2013-11-28,4.0,0.0,0.0,-2.0,-1.0,3.0,3.0,0.0,0.0,0.0,-4.0,0.0,0.0
2013-11-29,4.0,0.0,0.0,-2.0,-1.0,2.0,3.0,0.0,0.0,0.0,-4.0,0.0,0.0
2013-12-02,4.0,0.0,0.0,-2.0,-1.0,2.0,3.0,0.0,0.0,0.0,-4.0,0.0,0.0
2013-12-03,4.0,0.0,0.0,-2.0,-1.0,2.0,3.0,0.0,0.0,0.0,-4.0,0.0,0.0
2013-12-04,4.0,0.0,0.0,-2.0,-1.0,3.0,3.0,0.0,0.0,0.0,-4.0,0.0,0.0
2013-12-05,4.0,0.0,0.0,-2.0,-1.0,2.0,3.0,0.0,0.0,0.0,-4.0,0.0,0.0
2013-12-06,4.0,0.0,0.0,-2.0,-1.0,2.0,3.0,0.0,0.0,0.0,0.0,-5.0,0.0
2013-12-09,4.0,0.0,0.0,-2.0,-1.0,2.0,3.0,0.0,0.0,0.0,0.0,-5.0,0.0
2013-12-10,4.0,0.0,0.0,-2.0,-1.0,3.0,3.0,0.0,0.0,0.0,0.0,-5.0,0.0
